Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built Between 2006 And 2010,Total Households For Period Of Construction Built Between 2011 And 2015,Total Households For Period Of Construction Built Between 2016 And 2021,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
3555,1495,75000,1495,535,625,130,80,25,70,30,10,1350,130,15,1495,1355,140
4326,1335,99000,1335,340,650,100,90,15,30,45,70,845,475,15,1335,985,350
2505,1095,54000,1095,520,385,75,80,0,0,10,15,230,855,10,1095,225,865
4613,1995,81000,1995,85,1320,200,90,0,30,170,95,1295,720,0,1995,1315,680
1612,855,61200,855,650,115,30,0,15,15,20,20,10,840,5,855,260,595
5676,2445,72500,2445,330,1395,395,140,20,35,50,80,1580,855,10,2445,1625,820
5759,2935,47200,2935,130,840,590,455,340,335,185,60,840,2070,25,2935,1225,1710
3667,1655,72000,1655,20,420,495,500,75,85,30,20,1030,620,5,1655,1265,390
3336,1340,99000,1340,275,645,180,150,15,40,25,20,1165,140,35,1340,1210,130
3908,1495,100000,1495,130,580,215,275,150,110,35,10,1480,0,15,1495,1395,105
5947,1995,77500,1995,25,90,65,145,630,555,255,240,1920,80,0,1995,1690,300
3598,1465,56800,1465,180,1070,105,85,25,0,0,0,10,1450,5,1465,355,1110
1381,590,84000,590,195,270,55,35,15,0,0,0,365,135,90,590,105,485
3381,1820,62000,1820,775,285,295,150,145,75,50,40,805,1055,0,1820,775,1045
5547,1525,98000,1525,30,20,25,250,665,440,60,35,1335,190,0,1525,1275,250
1746,775,38000,775,440,175,35,50,15,35,0,20,100,740,0,775,145,630
5120,1880,75500,1880,55,475,1085,190,10,10,50,0,1515,440,0,1880,1295,585
6240,3475,56800,3475,655,1355,770,325,80,85,125,85,345,3115,15,3475,1020,2455
7002,2490,96000,2490,70,700,175,240,235,405,285,375,1770,720,0,2490,1950,535
5327,2350,72000,2350,75,465,345,525,175,215,320,225,1560,800,0,2350,1565,780
3487,1375,76000,1375,880,300,80,20,40,25,15,20,1100,290,0,1375,1090,285
4780,1855,106000,1855,85,750,130,80,100,215,355,135,905,1005,0,1855,1010,840
3616,1415,81000,1415,345,460,320,230,10,15,0,30,1215,195,5,1415,1020,390
6628,2090,99000,2090,65,50,45,1095,635,105,65,20,2090,0,0,2090,1790,305
7125,3015,73500,3015,135,310,205,655,165,635,490,415,2130,775,110,3015,2025,985
4446,1675,70500,1675,130,560,415,210,100,110,75,65,1375,65,235,1675,1545,125
5842,2230,65500,2230,820,655,260,165,30,35,130,135,1270,950,10,2230,1115,1115
3986,2195,41200,2195,740,895,255,145,65,55,35,15,590,1580,25,2195,730,1465
4573,1800,84000,1800,10,225,355,450,245,225,205,85,1150,685,0,1800,1360,445
2707,775,90000,775,10,80,315,320,35,30,0,0,545,205,25,775,675,105
3758,1585,61200,1585,245,680,385,155,60,10,25,25,950,635,0,1585,775,810
5727,1665,102000,1665,0,10,15,365,790,245,210,25,1445,220,0,1665,1280,390
5565,3465,58800,3465,325,1695,610,335,205,60,20,210,55,3410,0,3465,1170,2295
4502,2635,68000,2635,1080,515,175,255,60,25,200,320,525,2065,45,2635,720,1915
1762,830,44000,830,415,205,0,45,20,50,0,100,245,615,0,830,250,580
5631,2165,86000,2165,115,610,330,435,505,50,85,30,1675,310,180,2165,1900,265
5387,2380,63200,2380,190,885,435,425,100,130,155,50,440,1950,0,2380,1460,925
6562,2080,87000,2080,155,1580,180,130,10,0,10,10,1755,295,30,2080,1660,420
3493,1585,48000,1585,250,595,190,215,110,110,70,45,575,1065,0,1585,385,1205
5848,2885,64000,2885,950,635,420,230,115,100,55,380,1095,1795,0,2885,1000,1885
4234,1765,64000,1765,935,515,30,50,70,55,40,65,1530,265,0,1765,1090,680
3325,1335,91000,1335,385,545,145,110,15,75,35,25,1330,0,5,1335,1285,50
2031,775,94000,775,545,120,25,40,0,15,15,20,595,185,0,775,570,205
7033,2665,67500,2665,1245,1055,140,95,20,65,35,15,1210,1470,0,2665,1180,1495
2924,1245,76000,1245,365,790,50,30,0,0,0,0,1040,190,15,1245,955,295
5327,2155,72500,2155,45,730,400,325,280,190,70,110,1655,405,95,2155,1610,545
9776,2580,95000,2580,25,150,710,185,75,60,300,1075,2280,340,0,2580,2205,375
4580,2010,64000,2010,605,1110,155,75,45,10,0,0,1300,725,0,2010,1195,815
4567,1570,97000,1570,0,150,760,485,50,10,90,25,1530,15,25,1570,1475,95
2238,1065,62400,1065,65,600,85,120,45,35,80,40,590,475,0,1065,665,395
6818,3485,72500,3485,1920,990,205,100,65,125,55,25,440,3035,10,3485,930,2555
5443,2385,68000,2385,845,890,350,200,55,20,30,0,1230,1150,5,2385,1180,1210
2064,1040,53600,1040,615,270,85,20,15,20,0,10,15,1055,0,1040,255,785
3735,1715,63600,1715,35,230,250,245,165,370,270,135,900,805,10,1715,1195,520
6698,2480,68000,2480,305,1425,300,220,75,95,25,30,185,2255,40,2480,1000,1480
4022,2170,54400,2170,35,1175,380,95,65,315,85,25,0,2190,0,2170,935,1240
141,,,,,,,,,,,,5,0,0,,,
3877,1505,53200,1505,595,580,80,105,30,70,15,25,120,1420,0,1505,530,975
4266,1735,99000,1735,295,300,580,340,105,45,50,35,1370,385,0,1735,1520,220
9254,2695,125000,2695,10,25,30,1370,1120,85,40,15,2610,80,5,2695,2550,145
4088,1450,111000,1450,0,35,430,885,25,0,0,60,1460,5,0,1450,1290,160
1050,400,85000,400,75,105,45,35,70,50,0,15,390,5,5,400,350,50
6227,2035,108000,2035,50,280,530,440,465,210,30,30,1950,100,0,2035,1970,60
5067,1855,91000,1855,250,665,405,265,60,85,90,45,1515,310,30,1855,1525,335
3855,1575,83000,1575,950,190,80,145,65,35,50,55,520,1065,0,1575,890,685
5063,1645,105000,1645,10,40,100,765,375,175,85,95,1515,135,0,1645,1360,285
8211,3240,77500,3240,270,1030,475,550,230,185,275,230,1455,1795,0,3240,2075,1170
7824,2870,111000,2870,210,500,405,200,240,480,530,305,2815,45,10,2870,2490,375
5326,2860,51600,2860,1005,1045,310,285,155,35,10,15,800,2060,0,2860,1240,1620
5129,2005,84000,2005,0,75,1140,85,10,0,90,605,1535,470,0,2005,1560,445
4622,2070,81000,2070,650,655,280,175,40,90,115,65,995,1100,0,2070,1180,890
4200,1260,108000,1260,120,1060,35,20,0,0,10,15,1265,25,0,1260,1155,105
4442,1705,94000,1705,35,695,425,370,125,30,0,20,1400,315,0,1705,1360,345
4846,1490,101000,1490,0,10,20,250,480,485,220,40,1480,10,0,1490,1195,295
4543,1255,112000,1255,10,10,10,220,845,125,20,10,1230,15,10,1255,1055,200
4876,1850,61600,1850,50,690,820,210,50,0,25,0,1210,655,0,1850,1160,690
5585,2825,60800,2825,40,125,440,575,395,895,290,70,50,2790,0,2825,1670,1155
3910,1930,52400,1930,130,1080,280,155,120,130,25,0,825,995,110,1930,1080,845
3914,1305,101000,1305,10,0,0,0,0,0,20,1255,1285,5,15,1305,1145,160
6373,2955,61200,2955,445,1560,420,170,115,35,105,110,1420,1525,10,2955,1795,1160
7597,2860,86000,2860,255,400,250,225,450,230,420,630,2090,475,295,2860,2445,410
3256,1320,71500,1320,100,1115,50,45,0,0,0,0,885,415,20,1320,745,575
4251,1605,68000,1605,90,915,420,105,10,35,20,0,790,810,5,1605,895,705
1847,940,56800,940,20,195,370,280,0,10,45,25,305,35,600,940,855,80
6769,2870,70000,2870,1160,870,225,90,65,90,190,180,2105,765,0,2870,2030,840
2125,1230,38800,1230,710,150,175,80,60,50,10,0,280,935,15,1230,455,775
6926,3445,67000,3445,395,180,180,75,55,120,1105,1325,450,2810,185,3445,1290,2155
4986,1995,78000,1995,50,605,385,335,90,150,185,195,1540,400,55,1995,1465,530
6084,2470,69000,2470,250,1810,185,130,25,50,10,15,845,1625,0,2470,1140,1330
5473,1650,93000,1650,120,845,245,105,30,35,75,200,790,875,0,1650,1235,420
6350,2140,166000,2140,0,25,30,150,575,945,305,105,1300,35,805,2140,1790,355
4212,2105,53200,2105,1175,500,145,115,10,10,15,135,0,2110,0,2105,370,1735
5024,2045,84000,2045,1400,430,60,50,25,20,25,35,1210,820,15,2045,1540,505
6701,2720,81000,2720,1045,420,220,295,185,140,155,255,865,1825,30,2720,1730,990
2704,755,115000,755,0,40,130,510,15,50,0,0,715,30,10,755,705,45
4594,1840,83000,1840,170,450,195,220,145,235,235,185,1680,140,20,1840,1615,225
2709,1250,59600,1250,465,590,70,55,35,10,0,10,675,610,0,1250,500,750
6072,2160,104000,2160,45,410,495,500,385,205,90,25,2070,45,45,2160,1815,340
6910,2500,77500,2500,400,605,325,395,165,135,190,285,490,2015,0,2500,1290,1210
3371,1145,96000,1145,0,0,0,15,25,0,695,400,970,225,0,1145,850,295
6746,2275,109000,2275,10,0,0,0,25,275,1295,660,1905,360,10,2275,1815,460
1839,940,55200,940,30,365,260,155,25,0,10,95,535,100,305,940,615,305
1772,715,75500,715,65,195,135,125,55,85,40,10,630,15,70,715,655,50
4845,1640,115000,1640,115,395,300,290,90,125,140,195,1610,0,30,1640,1530,110
2883,960,102000,960,10,0,0,10,0,0,175,770,800,155,5,960,910,55
3525,1370,86000,1370,50,450,225,225,145,175,85,20,960,405,5,1370,1075,295
6070,2175,84000,2175,40,650,830,580,50,15,15,0,1905,270,0,2175,1605,570
4581,1835,57200,1835,175,1035,295,170,40,45,70,10,775,1090,0,1835,910,920
2124,1070,58000,1070,755,160,70,45,30,0,0,0,10,1085,0,1070,345,730
1947,670,190000,670,405,140,50,15,0,0,0,50,515,180,0,670,605,70
4448,1610,102000,1610,10,310,1155,110,10,0,10,0,1620,0,0,1610,1450,165
5795,2240,78500,2240,85,1410,415,150,95,20,45,20,1945,285,10,2240,1630,605
7728,2770,107000,2770,485,210,240,845,350,130,220,290,2430,345,0,2770,2265,505
3907,1465,98000,1465,170,275,160,110,205,230,145,170,1445,10,10,1465,1415,45
1970,825,42400,825,215,245,155,75,40,15,50,25,260,715,0,825,115,705
3177,1125,102000,1125,120,375,125,120,50,80,140,115,885,125,115,1125,825,300
1886,960,66500,960,770,135,20,35,0,0,0,0,65,885,10,960,400,560
3753,1565,77500,1565,20,305,375,575,115,120,45,20,1350,200,15,1565,1335,225
4005,1425,98000,1425,10,0,0,35,40,220,415,700,1425,10,0,1425,1180,240
4144,1555,87000,1555,250,450,300,265,120,30,65,65,1495,35,25,1555,1325,230
4675,1445,75000,1445,340,770,145,115,10,25,25,15,600,835,10,1445,795,650
2394,885,95000,885,420,385,50,15,0,0,15,10,745,135,5,885,665,215
5738,1490,108000,1490,0,0,0,75,745,560,60,35,1425,30,35,1490,1335,155
5796,2040,90000,2040,515,605,160,535,110,25,30,60,1825,220,0,2040,1785,255
5749,2205,87000,2205,10,20,290,960,370,250,205,105,1520,685,0,2205,1950,260
3156,1410,74000,1410,990,210,85,50,20,15,10,20,465,915,30,1410,750,660
3215,835,106000,835,20,35,265,420,55,25,10,15,525,325,0,835,630,205
2590,1535,82000,1535,80,35,100,385,120,285,390,140,65,1445,25,1535,835,700
238,80,,80,45,30,0,0,0,0,0,0,95,0,0,80,10,75
3605,1655,47600,1655,765,325,100,95,80,90,55,145,300,1420,0,1655,585,1065
10050,2755,114000,2755,15,45,55,295,605,715,545,475,2545,215,0,2755,2290,465
2567,1100,70000,1100,335,690,45,20,0,0,0,0,620,465,15,1100,565,530
5871,2670,48800,2670,375,720,170,95,35,490,335,450,185,2655,0,2670,510,2160
5093,2000,74000,2000,85,240,165,730,280,215,135,150,1465,520,15,2000,1395,610
4420,1465,100000,1465,0,0,0,25,285,540,450,150,1150,315,0,1465,1185,280
3836,1245,108000,1245,0,210,165,155,90,115,155,365,1200,30,15,1245,1135,110
12611,6895,69500,6895,825,1335,390,535,355,960,350,2140,555,6345,0,6895,2240,4645
6706,2375,54400,2375,690,1040,265,250,85,30,0,10,345,2005,25,2375,505,1870
4816,1835,81000,1835,30,850,885,60,0,10,0,0,1425,400,10,1835,1460,375
6096,2285,67500,2285,235,445,380,305,170,110,130,505,1105,1150,30,2285,1235,1045
5196,1230,117000,1230,0,10,10,25,60,975,115,35,1240,10,0,1230,1145,85
6896,2900,54400,2900,545,970,605,305,105,180,140,45,1315,1590,0,2900,965,1940
974,560,62400,560,10,25,160,135,95,60,40,35,555,0,5,560,545,20
5739,3255,70000,3255,1130,885,440,315,60,120,195,110,300,2950,5,3255,1115,2140
3544,1470,66000,1470,85,1170,100,65,15,10,20,10,1035,385,50,1470,920,545
6271,3020,61600,3020,1145,1235,365,160,50,50,15,0,1995,1010,15,3020,1850,1170
3223,1085,85000,1085,270,425,75,140,50,30,55,35,1055,30,0,1085,1000,85
2041,740,94000,740,45,630,45,10,0,0,0,0,735,20,0,740,640,100
7801,3175,81000,3175,100,375,775,625,370,400,110,420,2125,975,75,3175,2340,835
3090,1260,74500,1260,110,765,260,45,10,30,30,0,1125,125,10,1260,920,340
5908,2465,70500,2465,410,460,265,700,155,220,170,90,2025,435,5,2465,1775,690
2374,1050,70000,1050,690,275,35,20,10,0,0,0,755,275,20,1050,630,420
1786,595,95000,595,0,115,415,50,10,0,0,0,535,60,0,595,425,175
3472,1055,86000,1055,20,475,480,70,10,0,0,0,945,110,0,1055,955,95
4851,2125,55200,2125,1065,620,115,135,50,45,30,65,1100,1110,0,2125,1135,985
3255,1075,96000,1075,30,20,40,280,385,175,115,25,1070,20,0,1075,985,90
4975,1465,100000,1465,0,20,95,885,160,125,160,10,1260,210,0,1465,1290,175
4346,2030,71000,2030,80,250,70,130,85,55,455,905,395,1640,0,2030,1255,780
2871,1155,97000,1155,235,450,170,115,50,65,45,30,1090,45,20,1155,1100,55
6633,1900,111000,1900,0,65,545,930,165,150,40,0,1730,180,0,1900,1485,415
4781,1430,110000,1430,0,0,0,10,30,500,510,360,1405,25,0,1430,1120,315
5213,1680,78500,1680,195,350,240,320,185,120,120,145,350,1345,0,1680,840,845
6874,2965,72000,2965,705,1665,365,95,30,25,30,45,1915,1045,5,2965,1810,1160
6516,3180,48000,3180,770,1470,285,220,115,105,120,105,1120,2145,0,3180,940,2240
3356,1295,55600,1295,1005,195,20,55,0,0,0,0,745,575,0,1295,660,635
0,,,,,,,,,,,,0,0,0,,,
3138,1545,46400,1545,775,520,110,80,45,0,0,0,900,670,0,1545,590,955
2067,960,52800,960,295,495,85,40,20,10,0,15,445,555,0,960,440,515
3223,1715,45200,1715,770,600,130,80,10,30,35,50,210,1555,0,1715,355,1360
8016,3455,54400,3455,650,845,845,385,205,300,130,90,1005,2495,0,3455,1915,1540
2518,1275,93000,1275,575,95,85,145,25,125,35,205,420,845,10,1275,705,575
2883,1010,80000,1010,25,635,290,45,0,0,0,0,940,65,5,1010,680,330
5604,1830,107000,1830,0,25,195,350,510,420,285,50,1815,0,15,1830,1665,170
4482,1825,69500,1825,180,1355,175,70,35,0,0,0,1195,625,5,1825,1040,785
2031,905,81000,905,80,365,180,135,20,45,25,60,660,70,175,905,785,125
3419,1195,106000,1195,400,685,40,50,0,0,0,0,1160,35,0,1195,960,235
4177,1510,69500,1510,475,765,120,95,20,10,15,15,675,855,0,1510,600,910
5854,2375,58400,2375,295,1520,190,280,50,25,15,0,115,2260,0,2375,635,1735
8093,3590,87000,3590,575,1035,300,560,75,135,225,685,1090,2495,5,3590,2005,1585
3098,1045,122000,1045,60,200,250,260,105,85,45,30,1050,0,0,1045,1015,25
5775,2100,91000,2100,30,65,285,370,480,310,310,250,1940,165,0,2100,1805,295
5978,1810,93000,1810,300,550,715,140,40,15,40,10,1470,335,5,1810,1445,365
3243,1555,62000,1555,550,160,100,65,45,20,80,530,715,875,0,1555,390,1165
3544,1625,63600,1625,1085,260,85,40,25,85,30,20,730,925,0,1625,665,960
6091,2260,75500,2260,55,555,425,735,45,285,75,85,1455,820,0,2260,1815,440
6521,1810,110000,1810,0,15,20,135,85,295,785,465,1765,35,10,1810,1640,165
4163,2050,43600,2050,595,985,195,195,25,30,10,15,5,2060,0,2050,215,1835
2249,1315,52400,1315,790,260,85,75,35,45,20,10,10,1285,20,1315,300,1010
446,165,65500,165,35,70,30,20,0,10,0,0,165,10,0,165,140,30
9092,3410,84000,3410,45,10,30,70,405,465,1275,1110,2180,1245,0,3410,2425,990
3357,1420,52800,1420,95,745,405,45,45,90,0,0,300,1105,15,1420,625,800
2693,985,38000,985,405,385,35,55,30,20,30,20,475,525,0,985,205,780
5465,2085,62800,2085,100,1130,485,195,50,55,45,30,1085,1015,0,2085,1080,1005
4880,2315,58000,2315,470,1200,270,120,50,75,85,40,1210,1140,0,2315,1305,1010
5416,1990,98000,1990,205,710,875,170,0,0,0,15,1670,270,50,1990,1780,210
1610,665,80000,665,385,120,20,60,50,15,0,20,260,385,20,665,385,275
4648,1470,105000,1470,95,145,70,75,255,185,250,400,1325,140,5,1470,1250,220
7458,2815,80000,2815,125,420,150,740,400,440,340,200,2575,260,0,2815,2520,290
1789,560,126000,560,0,20,270,140,35,50,20,15,460,85,15,560,480,80
3946,1745,70500,1745,165,340,320,340,75,120,185,205,1080,630,35,1745,1190,560
7343,2905,88000,2905,265,690,520,620,195,250,255,105,2210,155,540,2905,2775,130
3147,1170,94000,1170,80,1040,40,10,0,0,0,0,1130,65,0,1170,1075,95
4587,1450,120000,1450,15,145,375,470,265,55,125,0,1170,290,0,1450,1275,175
2355,755,151000,755,85,370,195,55,0,0,15,15,755,0,0,755,715,40
3457,1335,62800,1335,170,755,300,65,30,0,0,0,125,1200,10,1335,340,995
3251,1200,103000,1200,0,125,755,305,10,0,0,0,1030,155,15,1200,1015,190
1384,480,92000,480,100,80,75,45,10,25,125,25,285,175,20,480,320,160
3267,895,95000,895,25,15,50,230,290,205,45,40,165,730,0,895,540,355
3629,2055,38000,2055,705,550,150,130,50,75,340,60,5,2135,0,2055,220,1835
6281,2590,68500,2590,455,695,450,395,195,230,100,70,2355,230,5,2590,1985,605
7623,3215,67000,3215,900,810,235,405,125,275,190,285,2750,470,0,3215,2165,1050
3772,1595,71500,1595,120,155,200,475,125,155,220,140,950,600,45,1595,960,635
1067,460,69500,460,75,175,80,85,15,0,20,0,365,100,0,460,355,110
1546,450,136000,450,35,100,130,70,15,30,30,35,360,75,15,450,335,115
5156,2330,51600,2330,155,520,935,500,160,25,10,25,720,1605,5,2330,1080,1245
4560,1595,131000,1595,0,30,535,680,320,20,10,0,1590,0,5,1595,1565,40
3261,1695,46400,1695,520,650,145,160,55,100,10,50,150,1540,5,1695,275,1420
5162,1695,105000,1695,10,45,85,1485,40,25,0,0,1675,10,10,1695,1495,205
343,,,,,,,,,,,,0,5,0,,,
2975,1250,39600,1250,515,325,105,140,35,45,50,40,395,910,0,1250,445,805
4614,1495,105000,1495,425,435,105,225,35,40,165,75,1510,15,0,1495,1385,110
203,80,,80,0,10,10,0,10,0,10,30,30,0,50,80,0,0
6282,2885,76000,2885,1800,510,195,130,35,40,45,135,1265,1675,0,2885,1465,1420
5936,1745,130000,1745,0,0,10,70,705,570,355,30,1745,0,0,1745,1645,95
3707,1130,78500,1130,70,800,160,65,20,10,10,0,645,495,0,1130,625,505
4039,1520,178000,1520,970,145,65,80,35,75,70,75,1330,205,0,1520,1355,170
6406,1755,98000,1755,20,50,55,580,275,145,260,375,995,765,0,1755,1290,465
2841,1140,100000,1140,40,450,435,115,30,15,0,55,970,140,30,1140,925,215
3084,1420,56000,1420,510,265,135,75,30,45,190,170,940,485,0,1420,915,505
3290,1475,65500,1475,70,85,140,240,410,465,55,15,630,870,0,1475,765,710
3468,1415,83000,1415,900,335,45,45,10,15,15,55,1085,340,0,1415,985,435
5674,2560,58800,2560,1185,710,225,135,60,15,10,215,885,1685,0,2560,965,1590
3693,1445,82000,1445,950,300,50,40,20,0,10,60,1155,330,0,1445,955,495
2568,1380,42400,1380,405,95,80,65,30,95,280,330,365,1030,0,1380,250,1130
5827,2245,92000,2245,40,1080,570,515,25,10,10,0,1280,965,0,2245,1955,285
5340,2190,82000,2190,205,470,915,320,75,60,95,40,1825,360,5,2190,1815,375
3766,1435,100000,1435,20,10,55,325,815,140,50,15,1325,95,15,1435,1225,210
2869,1510,42400,1510,740,505,90,60,25,15,30,45,470,1045,0,1510,645,865
2684,1380,54800,1380,540,375,130,80,60,110,55,25,80,1325,0,1380,610,770
4060,1525,76500,1525,20,720,455,130,15,10,25,150,1365,155,5,1525,1000,525
5823,1320,135000,1320,0,0,0,20,25,50,1035,190,1270,30,20,1320,1200,120
2670,980,89000,980,35,250,415,105,55,80,20,15,990,10,0,980,950,30
5572,2085,102000,2085,0,105,220,700,250,385,265,150,1700,165,220,2085,1840,240
4395,2890,52000,2890,145,1070,725,225,125,265,110,235,115,2765,10,2890,1895,995
304,140,76000,140,30,50,10,0,0,0,0,45,115,10,15,140,95,45
4352,1700,85000,1700,285,1045,260,80,0,20,0,0,1530,170,0,1700,1395,305
4354,1425,91000,1425,15,475,385,310,115,105,15,0,1320,95,10,1425,1305,120
3662,1215,101000,1215,65,895,145,50,25,10,10,10,960,250,5,1215,1020,190
2391,990,64500,990,165,360,150,125,80,55,45,15,635,80,275,990,860,130
5019,1670,115000,1670,0,30,65,1230,275,50,10,0,1660,20,0,1670,1520,150
5554,3175,59600,3175,625,1995,240,130,60,45,35,35,795,2355,25,3175,1540,1635
4358,1720,85000,1720,15,20,30,485,820,220,110,20,1080,675,0,1720,1300,415
4698,2110,65500,2110,770,640,180,225,70,75,55,90,845,1245,20,2110,1090,1025
3531,1210,93000,1210,95,600,435,45,0,20,0,0,910,315,0,1210,905,305
5245,1795,103000,1795,0,0,0,0,15,15,565,1175,1635,140,20,1795,1605,190
3080,980,97000,980,10,20,40,440,340,80,20,10,860,115,5,980,865,115
2525,995,84000,995,0,15,15,550,285,100,20,20,725,260,10,995,815,180
6109,2620,78500,2620,40,85,285,690,545,155,460,360,1270,1335,15,2620,1030,1585
1885,875,71000,875,540,150,65,45,0,25,35,15,325,525,25,875,445,430
4341,2720,52800,2720,1010,520,430,155,90,120,255,140,65,2660,0,2720,860,1860
3980,1970,49600,1970,435,1045,145,130,75,70,45,15,910,1075,0,1970,810,1160
4576,1765,62400,1765,680,445,295,90,50,10,135,60,690,1095,0,1765,955,815
4759,1840,84000,1840,55,1040,675,55,0,0,0,0,1845,0,0,1840,1630,210
3473,1325,81000,1325,70,890,105,45,0,130,50,30,1315,20,0,1325,1175,145
4255,1545,85000,1545,65,415,565,260,80,85,25,55,1050,460,35,1545,1180,365
997,170,85000,170,45,90,20,10,0,0,0,0,175,15,0,170,130,40
3267,1100,84000,1100,175,725,70,65,15,0,10,30,920,180,0,1100,980,120
5464,1775,79500,1775,125,980,455,180,10,0,10,0,680,1095,0,1775,855,925
4544,1950,88000,1950,150,1550,95,45,20,35,0,45,1610,340,0,1950,1425,525
1640,665,96000,665,520,105,15,10,0,0,0,0,445,205,15,665,460,205
1153,485,74500,485,60,210,70,45,35,25,15,20,410,60,15,485,410,75
6684,2390,104000,2390,15,75,700,860,540,125,25,55,2175,210,5,2390,2100,285
3836,1485,76000,1485,10,200,770,455,20,15,0,10,680,775,30,1485,1260,225
3758,1960,53600,1960,965,635,135,95,25,15,25,55,825,1130,5,1960,735,1230
1270,420,81000,420,100,145,65,45,40,10,25,0,420,0,0,420,335,90
2308,1095,67000,1095,555,380,50,65,35,0,0,0,595,525,0,1095,670,430
6602,2260,117000,2260,0,220,250,690,395,450,215,30,2215,5,40,2260,2085,175
3154,1155,107000,1155,125,915,30,40,0,0,25,15,1145,10,0,1155,1060,100
4153,1415,93000,1415,10,30,235,550,440,90,50,10,1270,155,0,1415,1205,210
2794,1260,72000,1260,170,560,170,130,30,105,65,30,835,400,25,1260,800,465
3505,1130,69500,1130,250,625,105,75,35,20,0,20,635,490,5,1130,685,440
4627,1840,82000,1840,190,400,365,350,190,180,105,60,1420,440,0,1840,1565,275
2982,1295,62800,1295,910,240,50,30,0,15,20,30,810,490,0,1295,790,510
1874,775,42800,775,390,280,40,50,0,0,0,10,40,755,0,775,0,770
3560,1160,86000,1160,420,630,40,40,30,0,0,0,975,200,0,1160,990,170
6552,2385,88000,2385,560,950,440,200,70,115,20,35,1510,875,0,2385,1695,690
1890,645,117000,645,0,10,20,600,20,0,0,0,640,0,5,645,575,65
6694,2415,90000,2415,10,20,25,415,1185,440,105,215,2140,270,5,2415,2180,235
4793,1885,85000,1885,615,275,165,330,85,90,185,140,1270,585,30,1885,1300,590
4012,1635,55600,1635,180,770,215,160,70,35,65,140,425,1205,5,1635,340,1300
84,35,,35,0,10,10,15,10,0,0,0,35,0,0,35,0,0
6406,2660,72500,2660,305,895,260,165,365,355,240,75,1630,1030,0,2660,1780,885
2850,1135,108000,1135,1015,35,10,0,0,30,0,45,1070,60,5,1135,980,155
6159,2625,101000,2625,270,690,675,410,120,125,115,215,2280,340,5,2625,2300,325
6681,2615,80000,2615,180,675,335,380,165,185,280,425,2000,530,85,2615,2030,580
10355,4345,70000,4345,145,390,1145,1100,435,450,230,455,2540,1795,10,4345,2440,1900
5374,1855,71000,1855,1560,165,30,15,0,10,35,40,1770,70,15,1855,1530,325
4036,2090,57200,2090,915,405,175,170,50,95,140,145,665,1450,0,2090,655,1440
4954,2205,57200,2205,1195,575,140,100,20,15,65,100,210,2010,0,2205,770,1435
6206,3550,59600,3550,995,1305,490,255,135,75,130,180,880,2670,0,3550,1175,2375
1744,665,91000,665,15,0,0,0,15,0,50,570,345,310,10,665,385,285
