Total Population,Total Households,Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built Between 2006 And 2010,Total Households For Period Of Construction Built Between 2011 And 2015,Total Households For Period Of Construction Built Between 2016 And 2021,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
6641,2380,2380,365,1270,220,115,95,130,150,35,835,1545,0,2380,1005,1380
4564,1765,1765,410,1275,40,10,20,0,0,0,1685,70,10,1765,1495,265
1534,970,970,520,215,135,45,0,25,15,25,35,930,5,970,220,750
3440,1350,1350,140,875,165,110,25,20,0,0,955,370,25,1350,590,750
3818,1495,1495,275,1025,120,55,15,0,0,10,55,1420,20,1495,480,1015
3561,1475,1475,25,355,640,290,85,45,35,0,1165,310,0,1475,1210,265
4605,1975,1975,530,945,140,125,30,50,0,145,505,1445,25,1975,705,1270
2448,1105,1105,865,180,30,10,0,0,0,10,25,1130,0,1105,325,780
3767,1330,1330,430,260,95,170,65,75,135,110,635,675,20,1330,1005,330
2568,800,800,15,60,280,365,30,10,20,15,715,95,0,800,660,140
5195,3075,3075,710,320,125,120,145,620,410,625,35,3150,0,3075,885,2190
8245,3500,3500,80,630,395,290,225,100,315,1465,1825,1765,0,3500,2165,1335
2036,875,875,780,50,20,15,0,0,0,0,595,250,30,875,635,240
4248,1740,1740,245,975,245,85,75,85,20,15,470,1280,0,1740,910,830
5356,2425,2425,1835,330,80,55,50,10,35,25,1245,1175,5,2425,1605,820
10615,2810,2810,25,35,25,630,820,410,160,710,2215,590,5,2810,2285,530
3665,1945,1945,1715,145,35,25,0,0,0,10,930,995,20,1945,935,1010
3831,1525,1525,295,765,325,50,10,0,15,55,1430,75,20,1525,1470,50
2961,1415,1415,530,70,35,60,30,295,315,70,180,1260,0,1415,910,505
6682,2230,2230,295,355,370,275,90,255,145,450,2020,145,65,2230,1970,260
3326,1425,1425,845,345,45,55,45,0,65,15,1150,265,10,1425,930,495
4828,1710,1710,65,565,255,315,80,170,135,115,1235,465,10,1710,1230,480
4699,1440,1440,40,480,775,95,15,20,0,0,1410,25,5,1440,1370,70
3739,1755,1755,145,425,250,190,25,55,70,590,115,1665,0,1755,730,1020
5885,2995,2995,790,1210,380,320,65,115,35,85,270,2720,5,2995,570,2430
2427,1055,1055,850,120,60,0,0,10,0,10,645,400,10,1055,595,465
5623,2630,2630,300,1290,180,180,145,235,220,85,1345,1280,5,2630,1760,870
7208,3850,3850,330,1860,650,325,100,420,160,10,865,2975,10,3850,1390,2465
5244,3370,3370,160,580,285,305,240,845,580,370,5,3390,0,3370,930,2440
2818,1110,1110,890,125,60,25,0,0,10,0,620,510,0,1110,705,405
1710,585,585,145,360,50,30,0,0,0,0,560,15,10,585,455,125
7605,3145,3145,350,730,455,305,250,310,425,325,2940,315,0,3145,2710,440
1794,605,605,15,75,405,85,0,10,0,0,440,175,0,605,520,80
3735,1610,1610,160,1195,155,60,15,15,15,0,330,1265,15,1610,510,1100
6363,2645,2645,380,2115,95,35,0,10,0,10,1190,1485,0,2645,2135,505
4907,2145,2145,1375,505,90,110,15,25,15,15,955,1185,5,2145,1040,1100
4570,1660,1660,715,410,225,135,40,50,10,65,1415,135,110,1660,1415,245
4961,1580,1580,45,320,345,410,255,130,65,10,1515,15,50,1580,1390,185
3307,1055,1055,85,310,180,250,20,30,120,55,560,460,35,1055,760,295
4338,1665,1665,235,700,375,200,80,35,25,15,1495,160,10,1665,1270,395
8491,3990,3990,250,1360,755,800,210,350,70,195,1640,2350,0,3990,2125,1865
4557,1520,1520,10,125,490,710,135,45,0,0,1030,180,310,1520,1300,215
5848,2665,2665,725,900,330,330,280,65,15,20,440,2200,25,2665,880,1785
1414,620,620,325,165,40,20,15,25,20,15,425,225,0,620,310,310
6645,2455,2455,50,70,15,135,210,515,380,1070,1655,780,20,2455,1800,655
3471,1785,1785,455,735,190,120,40,110,40,95,350,1440,0,1785,520,1265
16760,5505,5505,10,0,25,55,725,1510,2105,1070,4685,795,25,5505,4355,1145
1655,840,840,625,100,25,20,10,0,0,60,575,250,15,840,515,320
4600,1540,1540,75,755,230,180,65,35,110,90,1210,325,5,1540,1255,280
4666,2575,2575,95,555,835,450,90,185,165,195,475,2090,10,2575,645,1930
6382,2545,2545,510,945,275,320,100,175,125,85,2220,300,25,2545,2235,310
1297,855,855,165,110,130,155,60,60,110,55,70,760,25,855,95,760
4854,1520,1520,220,145,80,25,10,55,10,970,1460,70,0,1520,1180,340
4206,2565,2565,35,0,10,0,25,30,755,1690,5,2535,25,2565,1405,1155
1325,530,530,80,130,100,85,30,30,20,45,480,5,45,530,490,40
3648,1335,1335,100,655,530,30,10,0,0,0,1315,20,0,1335,1305,30
4822,2795,2795,1675,695,190,95,20,50,15,45,265,2525,5,2795,750,2045
1223,480,480,350,70,15,20,20,0,0,0,5,485,0,480,205,280
4629,2005,2005,395,810,280,155,55,25,120,160,945,1015,45,2005,1045,960
4412,1720,1720,415,895,110,120,35,75,15,45,1310,405,5,1720,1435,280
6062,2985,2985,1395,675,330,150,45,60,145,185,1560,1415,10,2985,1615,1370
5203,2820,2820,330,285,230,375,215,205,220,960,50,2845,0,2820,415,2405
4847,1860,1860,1535,175,50,55,10,15,15,0,975,850,35,1860,1370,490
4917,1475,1475,105,730,215,140,55,50,85,95,445,1035,0,1475,945,530
9052,3065,3065,35,310,255,110,30,20,395,1905,2420,685,0,3065,2320,745
5965,2310,2310,75,680,700,710,120,15,0,0,1780,535,0,2310,1825,485
3171,1050,1050,20,220,465,145,100,20,40,40,980,60,10,1050,935,120
4558,1990,1990,385,395,135,365,450,170,55,30,965,980,45,1990,1240,750
17964,7040,7040,1265,1195,1030,1235,415,580,665,665,6490,510,40,7040,6175,865
4972,1270,1270,75,290,310,240,125,85,60,75,460,835,0,1270,725,545
2941,910,910,15,10,15,195,75,85,270,245,895,30,0,910,695,220
2532,1465,1465,555,535,140,85,30,0,95,15,190,1250,25,1465,380,1085
2779,1245,1245,330,535,35,45,35,65,130,55,675,600,0,1245,665,580
5007,1925,1925,590,345,145,235,105,120,255,135,495,1435,0,1925,1240,690
2367,940,940,15,15,20,90,255,145,55,345,740,185,15,940,695,245
3022,1370,1370,1030,205,60,35,0,10,15,15,1120,230,20,1370,885,490
5872,1975,1975,145,475,250,945,80,30,25,20,1830,150,0,1975,1760,215
5704,2550,2550,1285,505,195,145,110,180,120,15,425,2135,0,2550,930,1620
5568,1895,1895,20,10,10,25,160,880,755,45,1565,315,15,1895,1455,440
7473,2350,2350,100,265,370,180,490,595,285,65,2160,190,0,2350,2190,160
4810,1620,1620,185,450,160,245,85,175,120,195,1540,0,80,1620,1415,205
2938,865,865,0,0,0,0,0,335,455,70,860,0,5,865,735,135
1784,650,650,40,570,10,0,0,0,20,0,645,0,5,650,635,15
3306,1435,1435,795,295,60,60,35,75,65,60,1105,350,0,1435,945,495
5848,2475,2475,995,765,270,170,70,75,50,75,2360,95,20,2475,2085,395
3104,1405,1405,480,635,110,80,25,15,20,45,635,765,5,1405,495,910
6273,2470,2470,1050,825,165,115,100,60,85,75,1575,885,10,2470,1550,920
3776,1270,1270,10,35,130,875,80,80,55,20,1190,80,0,1270,1115,160
5547,2355,2355,70,1700,295,245,35,0,0,0,1480,840,35,2355,1310,1045
2370,1090,1090,840,110,10,20,0,55,45,15,10,1090,0,1090,480,610
3613,1515,1515,160,880,300,55,15,35,15,45,1120,360,35,1515,1130,380
4814,2430,2430,1575,370,65,95,250,30,20,20,865,1520,45,2430,1680,755
4786,1685,1685,690,550,160,190,40,10,35,10,65,1615,5,1685,300,1385
4346,1935,1935,20,225,500,800,255,70,35,25,290,1630,15,1935,515,1420
3841,1745,1745,485,495,205,130,135,145,65,85,835,905,5,1745,985,760
4567,1770,1770,1220,340,55,75,15,20,25,20,780,965,25,1770,610,1160
4924,1995,1995,330,690,320,190,95,140,140,85,1905,15,75,1995,1780,210
842,325,325,255,55,10,0,0,0,0,10,175,160,0,325,210,115
4186,2295,2295,1435,575,180,30,30,50,0,0,140,2125,30,2295,650,1645
3866,1625,1625,300,670,120,225,110,120,55,30,1195,415,15,1625,1200,425
434,210,210,40,75,40,30,0,0,10,10,200,15,0,210,170,35
3453,1265,1265,170,385,560,105,10,15,0,25,1035,210,20,1265,1010,255
1678,570,570,160,175,75,40,55,15,25,30,565,5,0,570,495,75
2672,870,870,140,580,70,45,15,15,0,0,710,155,5,870,615,255
3920,935,935,10,15,0,0,10,125,310,460,910,30,0,935,780,155
4945,1695,1695,60,260,485,515,85,75,70,140,1335,350,10,1695,1475,215
3652,1415,1415,0,1300,30,30,50,0,0,0,1355,70,0,1415,1325,90
4756,2140,2140,950,540,180,125,55,50,95,140,850,1285,5,2140,965,1170
3133,1370,1370,600,650,65,35,0,0,0,10,80,1300,0,1370,465,905
6823,3025,3025,635,1120,285,380,130,220,100,155,1470,1555,0,3025,1340,1685
4814,2195,2195,1375,530,90,100,10,40,25,30,300,1890,5,2195,1055,1140
3707,1630,1630,1125,140,95,35,50,25,10,145,785,795,50,1630,950,690
2302,1315,1315,760,220,90,45,15,25,90,80,0,1285,30,1315,275,1040
6784,4060,4060,665,2035,385,310,165,105,190,195,610,3415,35,4060,1370,2685
3243,1170,1170,15,260,745,105,20,10,0,15,880,305,0,1170,830,335
3815,1660,1660,60,1100,225,165,30,40,25,10,895,780,0,1660,930,725
3817,1505,1505,615,730,50,20,20,0,20,50,1440,55,10,1505,1400,105
3198,1195,1195,15,720,380,15,10,45,10,0,1090,115,0,1195,1115,75
5718,2215,2215,455,1115,270,135,35,145,45,20,990,1205,20,2215,940,1280
9706,3930,3930,80,695,275,685,260,640,695,600,2110,1820,0,3930,2845,1080
3363,1115,1115,10,40,15,25,35,330,425,235,755,380,0,1115,795,320
4521,1905,1905,980,565,200,95,10,25,0,20,1485,380,40,1905,1505,400
8225,3115,3115,115,220,305,785,315,405,670,305,915,2190,10,3115,1910,1205
4002,1645,1645,35,565,655,375,20,0,0,0,1100,490,55,1645,990,655
5453,2610,2610,1530,740,145,70,35,25,25,40,415,2210,0,2610,775,1840
5540,1975,1975,115,970,390,300,35,50,55,55,1540,505,0,1975,1530,440
1965,1010,1010,625,265,45,50,10,0,0,0,550,450,10,1010,550,465
3812,1295,1295,455,395,210,95,60,40,20,25,1270,25,0,1295,1160,135
1800,595,595,70,150,100,80,85,50,35,20,605,10,0,595,565,25
3922,1305,1305,0,15,205,825,180,55,15,0,1220,90,0,1305,1140,165
2146,890,890,185,275,160,100,40,40,40,50,825,55,10,890,795,100
3858,1355,1355,35,70,335,795,85,25,0,10,1315,25,15,1355,1210,140
5910,2400,2400,335,1350,390,175,15,30,50,50,990,1355,55,2400,1355,1050
6501,2740,2740,135,150,660,470,610,215,240,255,560,2100,80,2740,1775,960
2795,980,980,0,40,550,350,15,15,0,0,975,0,5,980,930,55
3846,1845,1845,895,715,55,40,15,25,60,25,730,1125,0,1845,720,1130
4274,1780,1780,290,935,155,160,20,20,65,130,505,1300,0,1780,735,1040
8223,3100,3100,80,705,285,995,245,320,110,350,2395,300,405,3100,2540,560
4537,1835,1835,35,795,400,200,15,95,160,140,1540,340,0,1835,1505,335
1652,775,775,65,110,45,70,80,225,125,50,110,640,25,775,530,240
3179,1295,1295,210,615,155,160,90,0,10,55,1025,280,0,1295,970,325
5666,2420,2420,1185,695,300,90,35,35,55,25,750,1665,5,2420,1155,1260
3227,1300,1300,40,975,120,115,15,0,10,15,875,440,0,1300,775,525
4867,1240,1240,0,0,15,50,785,190,155,50,1190,25,25,1240,1100,140
5024,2365,2365,60,750,270,545,60,95,215,365,1035,1315,15,2365,1625,740
4228,2070,2070,375,1450,145,50,10,15,25,0,900,1185,0,2070,1070,1000
6054,2430,2430,955,950,135,200,90,50,20,25,40,2400,0,2430,390,2035
7138,2540,2540,435,740,140,370,170,95,190,405,2470,65,5,2540,2310,230
5123,1865,1865,45,920,360,375,120,20,10,10,1720,145,0,1865,1365,495
3270,1050,1050,150,745,110,40,0,0,0,0,865,225,0,1050,785,265
3765,1470,1470,25,245,415,345,295,80,45,15,1155,305,10,1470,910,565
15742,5470,5470,15,15,210,960,360,150,1900,1850,3915,1570,0,5470,4080,1390
7337,3575,3575,450,400,155,140,65,345,1170,850,245,3405,0,3575,1360,2215
3499,1205,1205,35,385,510,255,10,0,10,0,1215,0,0,1205,1170,35
5157,2425,2425,735,795,165,110,50,160,280,135,1000,1430,0,2425,1235,1195
3144,1425,1425,420,200,100,150,155,175,100,130,565,870,0,1425,960,460
3363,1760,1760,425,500,210,200,45,85,175,115,120,1650,0,1760,530,1235
6242,2825,2825,115,1305,675,240,95,60,135,195,1310,1515,0,2825,1550,1280
5816,2120,2120,25,185,1200,655,25,10,20,0,2075,40,5,2120,1760,360
851,385,385,80,150,55,35,10,20,20,20,315,60,10,385,340,50
4410,1670,1670,55,1040,345,150,35,25,10,10,1690,5,0,1670,1455,220
1462,790,790,165,215,135,230,20,0,10,10,40,780,0,790,290,505
6373,2485,2485,835,655,310,220,135,155,95,70,2190,175,120,2485,2185,295
6154,2380,2380,100,1390,765,90,20,0,0,15,1895,385,100,2380,1250,1130
2882,1190,1190,705,405,45,35,0,0,0,0,1030,170,0,1190,875,310
1364,670,670,245,240,30,100,15,20,15,0,330,345,0,670,380,290
13388,4175,4175,20,20,15,20,30,515,1945,1610,3615,525,35,4175,3180,1005
1114,480,480,0,65,170,120,60,45,10,10,120,355,5,480,415,65
1936,1095,1095,380,150,60,75,40,80,280,35,95,1010,0,1095,420,670
1664,525,525,0,30,215,50,15,155,55,0,450,55,20,525,455,65
2515,1195,1195,915,210,25,35,0,10,0,0,995,165,35,1195,915,280
9629,4305,4305,1340,820,440,380,190,305,425,410,3235,1060,10,4305,2730,1580
3125,1435,1435,560,750,50,50,20,0,0,0,890,530,15,1435,825,610
1014,565,565,195,20,15,45,35,70,15,175,60,490,15,565,325,235
6032,2270,2270,70,1115,650,240,75,65,25,20,1895,380,0,2270,1820,445
2705,1095,1095,15,375,430,215,25,15,10,10,565,535,0,1095,675,420
5711,2145,2145,265,710,200,620,160,125,25,35,2120,15,10,2145,2055,95
4587,1910,1910,265,765,275,200,155,95,75,85,1535,350,25,1910,1640,275
5978,2385,2385,460,1135,100,100,80,145,240,130,2000,335,50,2385,1680,705
2208,1205,1205,395,400,140,75,30,0,20,135,20,1200,0,1205,175,1030
4011,1295,1295,95,310,380,335,95,20,15,45,1235,70,0,1295,1230,65
4410,1375,1375,0,10,35,475,710,115,20,10,1325,0,50,1375,1190,190
3576,2065,2065,245,1185,170,85,10,15,230,130,60,1980,25,2065,245,1820
4145,1900,1900,35,1190,180,105,95,35,125,135,1155,715,30,1900,1375,525
3114,1065,1065,515,175,90,30,30,20,90,110,990,70,5,1065,750,320
7239,2925,2925,565,1080,280,285,235,240,180,55,640,2285,0,2925,1390,1535
7237,2670,2670,30,190,1320,830,135,15,60,90,2500,125,45,2670,2125,545
3213,1590,1590,850,490,70,80,40,35,10,0,1095,470,25,1590,1095,495
3228,1380,1380,205,915,185,15,10,10,0,30,880,520,0,1380,1055,325
4612,1800,1800,315,1230,115,65,35,20,0,20,10,1800,0,1800,565,1230
4781,1480,1480,50,90,445,495,210,85,20,95,320,1150,10,1480,840,645
5900,2840,2840,1295,1120,200,95,10,20,0,105,295,2535,10,2840,440,2400
2825,1105,1105,400,240,90,180,30,25,55,85,480,610,15,1105,870,235
3157,1050,1050,0,0,0,45,350,225,220,205,1030,15,5,1050,985,65
3345,1275,1275,885,270,35,60,10,10,0,0,1015,250,10,1275,810,465
6205,2565,2565,0,0,50,825,600,460,155,465,1090,1470,5,2565,1850,715
4451,2045,2045,1295,290,30,55,35,45,170,120,745,1300,0,2045,875,1165
8062,2960,2960,45,205,100,150,295,975,805,400,2135,560,265,2960,2020,945
2634,1075,1075,275,295,155,145,50,70,35,45,1050,15,10,1075,1005,75
6992,2475,2475,15,25,0,80,610,1075,550,115,1550,885,40,2475,1800,675
1346,650,650,15,10,25,295,125,145,35,0,350,275,25,650,580,65
1801,795,795,90,230,155,105,50,45,55,65,755,15,25,795,720,75
5812,2840,2840,1605,525,365,195,60,15,20,50,1665,1165,10,2840,1510,1330
256,170,170,65,55,30,10,0,0,0,10,20,145,5,170,15,160
4534,1365,1365,310,730,125,140,25,10,20,0,595,755,15,1365,490,875
7958,4605,4605,730,1345,430,700,370,265,310,445,370,4160,75,4605,975,3630
6647,2495,2495,80,275,225,215,185,580,650,280,1765,760,0,2495,2000,495
323,95,95,10,20,25,20,0,10,10,0,70,0,25,95,40,10
3328,1835,1835,760,610,220,80,25,40,95,0,630,1240,0,1835,590,1250
9021,3370,3370,325,615,670,575,285,195,300,400,3205,25,140,3370,3245,125
2341,780,780,635,40,30,0,0,15,25,25,655,120,5,780,660,125
3644,1450,1450,120,1100,145,55,15,10,0,0,870,580,0,1450,950,495
5443,2050,2050,0,805,880,245,65,35,10,0,1955,75,20,2050,2000,50
4605,1575,1575,0,10,25,815,530,165,20,0,1280,310,0,1575,1380,190
2363,945,945,75,440,75,35,20,140,135,25,725,240,0,945,620,320
4518,1445,1445,0,10,10,25,340,520,460,80,1105,325,15,1445,955,490
2678,1180,1180,340,395,105,135,25,95,50,45,545,685,0,1180,550,635
341,155,155,25,40,20,25,15,15,10,0,155,0,0,155,130,10
6011,2150,2150,410,270,80,220,310,695,85,75,1645,490,15,2150,1610,535
6833,3160,3160,385,1430,1020,220,55,20,20,10,1150,2015,0,3160,2130,1025
8318,3630,3630,180,1130,470,520,540,490,205,95,2435,1045,150,3630,2370,1260
3721,1230,1230,10,0,115,75,315,140,340,230,1015,220,0,1230,1185,55
3402,1415,1415,520,800,55,30,0,0,0,10,1255,135,25,1415,1245,175
3275,1120,1120,145,830,70,60,10,0,15,0,670,435,15,1120,815,305
5528,2720,2720,695,610,120,270,95,165,685,70,790,1945,0,2720,1385,1335
6488,2950,2950,155,685,515,410,335,390,275,185,2005,930,15,2950,2180,770
4904,1605,1605,95,225,90,55,80,515,405,145,1465,165,0,1605,1415,190
4529,1425,1425,35,460,805,90,15,10,0,0,1340,60,25,1425,1365,60
5700,2355,2355,990,860,75,65,40,70,140,120,1475,880,0,2355,1390,960
4851,1735,1735,1135,235,80,85,145,30,10,10,1080,655,0,1735,1260,470
3307,1215,1215,280,230,220,205,100,90,40,45,1210,5,0,1215,1140,70
5560,1395,1395,0,0,0,0,0,0,130,1255,1235,175,0,1395,1225,170
3995,1745,1745,1325,220,75,50,35,15,10,15,1270,425,50,1745,1175,570
1742,785,785,460,160,50,45,30,15,15,0,475,320,0,785,475,305
3080,1185,1185,530,390,130,65,10,20,20,15,600,640,0,1185,610,565
6957,3720,3720,885,780,340,250,190,410,620,240,390,3320,10,3720,980,2740
4252,1735,1735,595,1015,35,15,15,25,25,15,1250,460,25,1735,1300,440
3408,945,945,20,180,365,320,40,20,0,0,855,95,0,945,840,105
4856,2230,2230,20,135,535,325,275,600,280,50,190,2035,5,2230,1400,830
6660,2620,2620,105,240,140,235,295,840,555,210,775,1880,0,2620,1125,1495
6147,2770,2770,1185,980,180,165,60,40,70,90,65,2720,0,2770,575,2195
5366,1815,1815,15,0,0,30,85,295,685,705,1275,545,0,1815,1535,280
3285,1305,1305,895,160,40,75,10,70,30,30,990,365,0,1305,735,570
7263,2340,2340,460,335,155,795,180,110,95,205,1735,600,5,2340,1585,755
4161,1555,1555,105,655,260,110,90,200,80,55,1410,130,15,1555,1320,230
4156,2055,2055,1040,490,95,95,70,120,75,60,190,1860,5,2055,745,1305
3062,1250,1250,1055,150,30,10,0,0,0,10,985,275,0,1250,840,415
4042,1360,1360,555,310,85,120,105,35,40,105,875,480,5,1360,1040,320
4768,2525,2525,375,980,455,530,50,25,10,90,350,2165,10,2525,1020,1505
1959,720,720,20,630,30,15,10,0,10,0,665,40,15,720,575,145
4865,2010,2010,65,860,255,195,90,165,220,160,1435,570,5,2010,1485,525
3396,1000,1000,85,820,65,15,0,0,10,0,835,190,0,1000,725,270
4455,1620,1620,460,190,165,260,130,80,160,175,730,865,25,1620,1035,585
6949,2900,2900,185,685,255,1060,140,135,40,410,855,2035,10,2900,1455,1440
5797,2535,2535,220,615,225,495,260,195,360,160,1805,725,5,2535,1890,645
473,290,290,0,0,0,0,15,80,115,80,0,295,0,290,220,70
5630,2170,2170,60,1575,405,65,20,40,0,0,1645,530,0,2170,1795,380
7140,3270,3270,1595,790,425,155,115,95,15,85,1890,1380,0,3270,2165,1110
3612,1525,1525,80,275,265,390,250,115,90,55,1265,65,195,1525,1355,165
1930,940,940,210,475,95,85,25,30,15,0,85,885,0,940,75,870
7568,2865,2865,10,0,10,80,550,620,790,795,1490,1320,55,2865,2325,540
4410,1620,1620,195,480,530,260,30,0,0,130,1295,310,15,1620,1110,510
4119,2330,2330,540,1055,390,180,50,30,50,25,285,2045,0,2330,435,1900
5440,2530,2530,55,1570,460,290,20,45,20,75,1725,800,5,2530,1930,600
6390,2595,2595,135,550,525,245,120,325,330,375,1785,715,95,2595,1915,680
4703,2395,2395,2055,230,40,25,20,0,10,20,1335,1050,10,2395,1225,1175
6986,2965,2965,1465,515,350,150,175,80,15,215,2140,830,0,2965,2165,805
457,270,270,0,0,0,10,25,160,80,0,0,265,5,270,185,85
2791,1400,1400,690,480,100,45,0,15,25,35,120,1245,35,1400,385,1015
3573,1115,1115,0,0,10,25,335,410,265,75,1070,40,5,1115,1010,100
3939,1450,1450,155,355,140,190,70,230,185,125,1280,0,170,1450,1325,125
4737,2195,2195,970,895,120,150,10,20,10,15,1685,565,0,2195,1625,570
6956,2155,2155,45,720,435,750,80,75,35,10,1985,175,0,2155,1885,270
4517,1720,1720,260,1135,220,70,15,10,0,15,60,1670,0,1720,450,1275
5782,2290,2290,105,320,205,190,195,510,395,365,1800,325,165,2290,1930,360
3136,1470,1470,1290,120,30,10,10,0,0,0,1010,400,60,1470,975,495
6248,2100,2100,90,95,720,510,195,140,140,220,1885,190,25,2100,1910,190
4222,1520,1520,45,625,585,225,20,10,10,0,1145,355,20,1520,1000,520
5138,1475,1475,10,0,10,30,360,760,250,55,1245,220,10,1475,1300,175
3611,1670,1670,585,585,230,115,35,60,10,45,275,1410,0,1670,450,1220
2180,1215,1215,600,325,105,80,20,30,35,30,235,985,0,1215,295,925
5341,2535,2535,210,1905,130,120,45,15,95,25,1730,815,0,2535,1815,725
5729,2615,2615,110,330,360,370,110,420,425,490,580,2155,0,2615,1560,1055
7259,2780,2780,70,345,410,845,410,275,215,210,2180,590,10,2780,2140,645
4881,2175,2175,635,315,130,350,120,190,185,250,1990,80,105,2175,2015,165
3266,885,885,15,105,280,100,110,60,115,105,315,555,15,885,585,300
4505,2110,2110,400,545,255,125,75,115,150,445,225,1815,70,2110,670,1440
2608,900,900,20,55,40,80,95,160,145,315,880,15,5,900,820,85
4600,1380,1380,30,905,300,90,0,15,15,15,985,410,0,1380,1135,240
4687,1800,1800,50,330,1000,305,60,35,15,0,1735,45,20,1800,1585,220
5025,1670,1670,220,1175,80,30,10,20,30,105,1635,55,0,1670,1500,170
4228,1665,1665,85,630,370,420,120,15,10,15,1495,170,0,1665,1510,155
3518,1080,1080,225,190,175,215,65,50,55,100,960,115,5,1080,840,240
3720,1430,1430,30,705,520,120,45,10,0,0,1170,265,0,1430,1045,380
7814,2065,2065,20,60,45,125,350,830,375,265,395,1665,5,2065,1165,895
6910,3545,3545,280,1895,625,340,105,85,50,170,875,2670,0,3545,1145,2400
4850,2500,2500,740,1280,180,115,10,40,40,90,735,1765,0,2500,780,1720
11190,3085,3085,0,0,10,85,135,1895,885,75,3065,20,0,3085,2720,365
9031,3190,3190,620,560,535,305,330,300,180,355,2990,175,25,3190,2850,340
6835,2295,2295,20,110,345,1090,235,205,200,100,1425,870,0,2295,1415,885
1391,595,595,70,75,25,80,90,200,25,15,295,300,0,595,435,160
3117,1040,1040,85,210,155,100,275,85,60,75,1010,20,10,1040,1000,40
5134,2470,2470,710,765,305,170,65,160,200,95,1365,1065,40,2470,1455,1015
3853,1895,1895,915,580,165,80,40,15,20,85,1125,805,0,1895,900,995
3692,1375,1375,55,715,460,100,10,10,20,10,1085,305,0,1375,820,555
